table_name	column_name	column_type	column_position	table_type
account_metrics_daily	date	Date	1	MT
account_metrics_daily	klaviyo_public_id	String	2	MT
account_metrics_daily	store_public_ids	Array(String)	3	MT
account_metrics_daily	total_orders	UInt32	4	MT
account_metrics_daily	total_revenue	Float64	5	MT
account_metrics_daily	avg_order_value	Float64	6	MT
account_metrics_daily	unique_customers	UInt32	7	MT
account_metrics_daily	unique_products_sold	UInt32	8	MT
account_metrics_daily	total_quantity_sold	UInt32	9	MT
account_metrics_daily	new_customers	UInt32	10	MT
account_metrics_daily	returning_customers	UInt32	11	MT
account_metrics_daily	revenue_7d_ago	Float64	12	MT
account_metrics_daily	revenue_30d_ago	Float64	13	MT
account_metrics_daily	orders_7d_ago	UInt32	14	MT
account_metrics_daily	orders_30d_ago	UInt32	15	MT
account_metrics_daily	campaigns_sent	UInt32	16	MT
account_metrics_daily	campaign_recipients	UInt32	17	MT
account_metrics_daily	campaign_revenue	Float64	18	MT
account_metrics_daily	flow_revenue	Float64	19	MT
account_metrics_daily	campaign_email_revenue	Float64	20	MT
account_metrics_daily	campaign_sms_revenue	Float64	21	MT
account_metrics_daily	campaign_push_revenue	Float64	22	MT
account_metrics_daily	flow_email_revenue	Float64	23	MT
account_metrics_daily	flow_sms_revenue	Float64	24	MT
account_metrics_daily	flow_push_revenue	Float64	25	MT
account_metrics_daily	email_revenue	Float64	26	MT
account_metrics_daily	sms_revenue	Float64	27	MT
account_metrics_daily	push_revenue	Float64	28	MT
account_metrics_daily	email_recipients	UInt32	29	MT
account_metrics_daily	sms_recipients	UInt32	30	MT
account_metrics_daily	push_recipients	UInt32	31	MT
account_metrics_daily	email_delivered	UInt32	32	MT
account_metrics_daily	sms_delivered	UInt32	33	MT
account_metrics_daily	push_delivered	UInt32	34	MT
account_metrics_daily	email_clicks	UInt32	35	MT
account_metrics_daily	sms_clicks	UInt32	36	MT
account_metrics_daily	push_clicks	UInt32	37	MT
account_metrics_daily	last_updated	DateTime64(3)	38	MT
account_metrics_daily	updated_at	DateTime64(3)	39	MT
account_metrics_daily	attributed_revenue	Float64	40	MT
account_metrics_daily	email_opens	Int32	41	MT
account_metrics_daily_latest	date	Date	1	VIEW
account_metrics_daily_latest	klaviyo_public_id	String	2	VIEW
account_metrics_daily_latest	store_public_ids	Array(String)	3	VIEW
account_metrics_daily_latest	total_orders	UInt32	4	VIEW
account_metrics_daily_latest	total_revenue	Float64	5	VIEW
account_metrics_daily_latest	avg_order_value	Float64	6	VIEW
account_metrics_daily_latest	unique_customers	UInt32	7	VIEW
account_metrics_daily_latest	unique_products_sold	UInt32	8	VIEW
account_metrics_daily_latest	total_quantity_sold	UInt32	9	VIEW
account_metrics_daily_latest	new_customers	UInt32	10	VIEW
account_metrics_daily_latest	returning_customers	UInt32	11	VIEW
account_metrics_daily_latest	revenue_7d_ago	Float64	12	VIEW
account_metrics_daily_latest	revenue_30d_ago	Float64	13	VIEW
account_metrics_daily_latest	orders_7d_ago	UInt32	14	VIEW
account_metrics_daily_latest	orders_30d_ago	UInt32	15	VIEW
account_metrics_daily_latest	campaigns_sent	UInt32	16	VIEW
account_metrics_daily_latest	campaign_recipients	UInt32	17	VIEW
account_metrics_daily_latest	campaign_revenue	Float64	18	VIEW
account_metrics_daily_latest	flow_revenue	Float64	19	VIEW
account_metrics_daily_latest	campaign_email_revenue	Float64	20	VIEW
account_metrics_daily_latest	campaign_sms_revenue	Float64	21	VIEW
account_metrics_daily_latest	campaign_push_revenue	Float64	22	VIEW
account_metrics_daily_latest	flow_email_revenue	Float64	23	VIEW
account_metrics_daily_latest	flow_sms_revenue	Float64	24	VIEW
account_metrics_daily_latest	flow_push_revenue	Float64	25	VIEW
account_metrics_daily_latest	email_revenue	Float64	26	VIEW
account_metrics_daily_latest	sms_revenue	Float64	27	VIEW
account_metrics_daily_latest	push_revenue	Float64	28	VIEW
account_metrics_daily_latest	email_recipients	UInt32	29	VIEW
account_metrics_daily_latest	sms_recipients	UInt32	30	VIEW
account_metrics_daily_latest	push_recipients	UInt32	31	VIEW
account_metrics_daily_latest	email_delivered	UInt32	32	VIEW
account_metrics_daily_latest	sms_delivered	UInt32	33	VIEW
account_metrics_daily_latest	push_delivered	UInt32	34	VIEW
account_metrics_daily_latest	email_clicks	UInt32	35	VIEW
account_metrics_daily_latest	sms_clicks	UInt32	36	VIEW
account_metrics_daily_latest	push_clicks	UInt32	37	VIEW
account_metrics_daily_latest	last_updated	DateTime64(3)	38	VIEW
account_metrics_daily_latest	updated_at	DateTime64(3)	39	VIEW
account_metrics_daily_latest	attributed_revenue	Float64	40	VIEW
account_metrics_daily_latest	email_opens	Int32	41	VIEW
ai_best_performers	klaviyo_public_id	String	1	VIEW
ai_best_performers	type	String	2	VIEW
ai_best_performers	name	String	3	VIEW
ai_best_performers	send_channel	String	4	VIEW
ai_best_performers	date	Date	5	VIEW
ai_best_performers	revenue	Float64	6	VIEW
ai_best_performers	open_rate_pct	Float64	7	VIEW
ai_best_performers	click_rate_pct	Float64	8	VIEW
ai_best_performers	recipients	UInt32	9	VIEW
ai_best_performers	performance_label	String	10	VIEW
ai_campaign_recent	klaviyo_public_id	String	1	VIEW
ai_campaign_recent	date	Date	2	VIEW
ai_campaign_recent	campaign_id	String	3	VIEW
ai_campaign_recent	campaign_name	String	4	VIEW
ai_campaign_recent	send_channel	String	5	VIEW
ai_campaign_recent	recipients	UInt32	6	VIEW
ai_campaign_recent	open_rate_pct	Float64	7	VIEW
ai_campaign_recent	click_rate_pct	Float64	8	VIEW
ai_campaign_recent	conversion_rate_pct	Float64	9	VIEW
ai_campaign_recent	revenue	Float64	10	VIEW
ai_campaign_recent	wow_revenue_change_pct	Float32	11	VIEW
ai_campaign_recent	vs_account_revenue_pct	Float32	12	VIEW
ai_campaign_recent	day_name	String	13	VIEW
ai_campaign_recent	is_weekend	UInt8	14	VIEW
ai_campaign_recent	performance_label	String	15	VIEW
ai_campaign_recent	data_freshness	DateTime	16	VIEW
ai_campaign_weekly	klaviyo_public_id	String	1	VIEW
ai_campaign_weekly	week_start_date	Date	2	VIEW
ai_campaign_weekly	campaign_id	String	3	VIEW
ai_campaign_weekly	campaign_name	String	4	VIEW
ai_campaign_weekly	send_channel	String	5	VIEW
ai_campaign_weekly	total_recipients	UInt32	6	VIEW
ai_campaign_weekly	total_revenue	Float64	7	VIEW
ai_campaign_weekly	avg_open_rate_pct	Float64	8	VIEW
ai_campaign_weekly	avg_click_rate_pct	Float64	9	VIEW
ai_campaign_weekly	campaigns_sent	UInt16	10	VIEW
ai_campaign_weekly	best_day_date	Date	11	VIEW
ai_campaign_weekly	best_day_revenue	Float64	12	VIEW
ai_campaign_weekly	wow_revenue_change_pct	Float32	13	VIEW
ai_channel_comparison	klaviyo_public_id	String	1	VIEW
ai_channel_comparison	send_channel	String	2	VIEW
ai_channel_comparison	revenue_last_7d	Float64	3	VIEW
ai_channel_comparison	open_rate_last_7d_pct	Nullable(Float64)	4	VIEW
ai_channel_comparison	click_rate_last_7d_pct	Nullable(Float64)	5	VIEW
ai_channel_comparison	revenue_last_30d	Float64	6	VIEW
ai_channel_comparison	open_rate_last_30d_pct	Nullable(Float64)	7	VIEW
ai_channel_comparison	click_rate_last_30d_pct	Nullable(Float64)	8	VIEW
ai_channel_comparison	pct_of_total_revenue	Float32	9	VIEW
ai_day_of_week_patterns	klaviyo_public_id	String	1	VIEW
ai_day_of_week_patterns	source	String	2	VIEW
ai_day_of_week_patterns	day_name	String	3	VIEW
ai_day_of_week_patterns	day_of_week	UInt8	4	VIEW
ai_day_of_week_patterns	is_weekend	UInt8	5	VIEW
ai_day_of_week_patterns	total_sends	UInt64	6	VIEW
ai_day_of_week_patterns	avg_open_rate_pct	Float64	7	VIEW
ai_day_of_week_patterns	avg_click_rate_pct	Float64	8	VIEW
ai_day_of_week_patterns	avg_revenue	Float64	9	VIEW
ai_day_of_week_patterns	total_revenue	Float64	10	VIEW
ai_flow_recent	klaviyo_public_id	String	1	VIEW
ai_flow_recent	date	Date	2	VIEW
ai_flow_recent	flow_id	String	3	VIEW
ai_flow_recent	flow_name	String	4	VIEW
ai_flow_recent	send_channel	String	5	VIEW
ai_flow_recent	recipients	UInt32	6	VIEW
ai_flow_recent	open_rate_pct	Float64	7	VIEW
ai_flow_recent	click_rate_pct	Float64	8	VIEW
ai_flow_recent	conversion_rate_pct	Float64	9	VIEW
ai_flow_recent	revenue	Float64	10	VIEW
ai_flow_recent	wow_revenue_change_pct	Float32	11	VIEW
ai_flow_recent	vs_account_revenue_pct	Float32	12	VIEW
ai_flow_recent	day_name	String	13	VIEW
ai_flow_recent	is_weekend	UInt8	14	VIEW
ai_flow_recent	performance_label	String	15	VIEW
ai_flow_recent	data_freshness	DateTime	16	VIEW
ai_flow_weekly	klaviyo_public_id	String	1	VIEW
ai_flow_weekly	week_start_date	Date	2	VIEW
ai_flow_weekly	flow_id	String	3	VIEW
ai_flow_weekly	flow_name	String	4	VIEW
ai_flow_weekly	send_channel	String	5	VIEW
ai_flow_weekly	total_recipients	UInt32	6	VIEW
ai_flow_weekly	total_revenue	Float64	7	VIEW
ai_flow_weekly	avg_open_rate_pct	Float64	8	VIEW
ai_flow_weekly	avg_click_rate_pct	Float64	9	VIEW
ai_flow_weekly	active_days	UInt8	10	VIEW
ai_flow_weekly	best_day_date	Date	11	VIEW
ai_flow_weekly	best_day_revenue	Float64	12	VIEW
ai_flow_weekly	wow_revenue_change_pct	Float32	13	VIEW
ai_historical_baseline	klaviyo_public_id	String	1	VIEW
ai_historical_baseline	month	Date	2	VIEW
ai_historical_baseline	source_type	String	3	VIEW
ai_historical_baseline	send_channel	String	4	VIEW
ai_historical_baseline	total_sends	UInt64	5	VIEW
ai_historical_baseline	total_recipients	UInt64	6	VIEW
ai_historical_baseline	total_revenue	Float64	7	VIEW
ai_historical_baseline	avg_open_rate_pct	Float64	8	VIEW
ai_historical_baseline	avg_click_rate_pct	Float64	9	VIEW
ai_historical_baseline	min_open_rate_pct	Float64	10	VIEW
ai_historical_baseline	max_open_rate_pct	Float64	11	VIEW
brand_performance	klaviyo_public_id	String	1	MT
brand_performance	vendor	String	2	MT
brand_performance	total_products	UInt32	3	MT
brand_performance	active_products	UInt32	4	MT
brand_performance	total_revenue	Float64	5	MT
brand_performance	total_orders	UInt32	6	MT
brand_performance	avg_order_value	Float64	7	MT
brand_performance	unique_customers	UInt32	8	MT
brand_performance	customer_ltv	Float64	9	MT
brand_performance	repeat_customer_rate	Float64	10	MT
brand_performance	revenue_per_product	Float64	11	MT
brand_performance	total_quantity_sold	Float64	12	MT
brand_performance	avg_product_price	Float64	13	MT
brand_performance	updated_at	DateTime	14	MT
buyer_segments_analysis	klaviyo_public_id	String	1	MT
buyer_segments_analysis	buyer_segment	String	2	MT
buyer_segments_analysis	customer_count	UInt32	3	MT
buyer_segments_analysis	total_revenue	Float64	4	MT
buyer_segments_analysis	avg_order_value	Float64	5	MT
buyer_segments_analysis	avg_ltv	Float64	6	MT
buyer_segments_analysis	pct_of_customers	Float64	7	MT
buyer_segments_analysis	pct_of_revenue	Float64	8	MT
buyer_segments_analysis	avg_days_between_orders	Float64	9	MT
buyer_segments_analysis	top_products	Array(Tuple(String, String, UInt32, Float64))	10	MT
buyer_segments_analysis	top_categories	Array(Tuple(String, UInt32, Float64))	11	MT
buyer_segments_analysis	top_first_products	Array(Tuple(String, String, UInt32))	12	MT
buyer_segments_analysis	calculated_at	DateTime64(3)	13	MT
campaign_ai_summary	klaviyo_public_id	String	1	MT
campaign_ai_summary	date	Date	2	MT
campaign_ai_summary	campaign_id	String	3	MT
campaign_ai_summary	campaign_name	String	4	MT
campaign_ai_summary	send_channel	String	5	MT
campaign_ai_summary	recipients	UInt32	6	MT
campaign_ai_summary	opens	UInt32	7	MT
campaign_ai_summary	opens_unique	UInt32	8	MT
campaign_ai_summary	clicks	UInt32	9	MT
campaign_ai_summary	clicks_unique	UInt32	10	MT
campaign_ai_summary	conversions	UInt32	11	MT
campaign_ai_summary	conversion_value	Float64	12	MT
campaign_ai_summary	open_rate	Float32	13	MT
campaign_ai_summary	click_rate	Float32	14	MT
campaign_ai_summary	click_to_open_rate	Float32	15	MT
campaign_ai_summary	conversion_rate	Float32	16	MT
campaign_ai_summary	revenue_per_recipient	Float32	17	MT
campaign_ai_summary	bounced	UInt32	18	MT
campaign_ai_summary	unsubscribes	UInt32	19	MT
campaign_ai_summary	spam_complaints	UInt32	20	MT
campaign_ai_summary	day_of_week	UInt8	21	MT
campaign_ai_summary	day_name	String	22	MT
campaign_ai_summary	is_weekend	UInt8	23	MT
campaign_ai_summary	ma_7day_open_rate	Float32	24	MT
campaign_ai_summary	ma_7day_click_rate	Float32	25	MT
campaign_ai_summary	ma_7day_conversion_rate	Float32	26	MT
campaign_ai_summary	ma_7day_revenue	Float64	27	MT
campaign_ai_summary	wow_open_rate_change_pct	Float32	28	MT
campaign_ai_summary	wow_click_rate_change_pct	Float32	29	MT
campaign_ai_summary	wow_revenue_change_pct	Float32	30	MT
campaign_ai_summary	account_avg_open_rate	Float32	31	MT
campaign_ai_summary	account_avg_click_rate	Float32	32	MT
campaign_ai_summary	account_avg_revenue	Float64	33	MT
campaign_ai_summary	vs_account_open_rate_pct	Float32	34	MT
campaign_ai_summary	vs_account_click_rate_pct	Float32	35	MT
campaign_ai_summary	vs_account_revenue_pct	Float32	36	MT
campaign_ai_summary	is_high_performer	UInt8	37	MT
campaign_ai_summary	is_low_performer	UInt8	38	MT
campaign_ai_summary	is_anomaly	UInt8	39	MT
campaign_ai_summary	performance_label	String	40	MT
campaign_ai_summary	updated_at	DateTime	41	MT
campaign_statistics	date	Date	1	MT
campaign_statistics	updated_at	DateTime64(3)	2	MT
campaign_statistics	klaviyo_public_id	String	3	MT
campaign_statistics	campaign_id	String	4	MT
campaign_statistics	campaign_message_id	String	5	MT
campaign_statistics	send_channel	String	6	MT
campaign_statistics	store_public_ids	Array(String)	7	MT
campaign_statistics	recipients	UInt32	8	MT
campaign_statistics	delivered	UInt32	9	MT
campaign_statistics	opens	UInt32	10	MT
campaign_statistics	opens_unique	UInt32	11	MT
campaign_statistics	clicks	UInt32	12	MT
campaign_statistics	clicks_unique	UInt32	13	MT
campaign_statistics	conversions	UInt32	14	MT
campaign_statistics	conversion_uniques	UInt32	15	MT
campaign_statistics	delivery_rate	UInt16	16	MT
campaign_statistics	open_rate	UInt16	17	MT
campaign_statistics	click_rate	UInt16	18	MT
campaign_statistics	click_to_open_rate	UInt16	19	MT
campaign_statistics	conversion_rate	UInt16	20	MT
campaign_statistics	conversion_value	Float64	21	MT
campaign_statistics	average_order_value	Float64	22	MT
campaign_statistics	revenue_per_recipient	Float64	23	MT
campaign_statistics	bounced	UInt32	24	MT
campaign_statistics	bounced_or_failed	UInt32	25	MT
campaign_statistics	failed	UInt32	26	MT
campaign_statistics	spam_complaints	UInt32	27	MT
campaign_statistics	spam_complaint_uniques	UInt32	28	MT
campaign_statistics	unsubscribes	UInt32	29	MT
campaign_statistics	unsubscribe_uniques	UInt32	30	MT
campaign_statistics	bounce_rate	UInt16	31	MT
campaign_statistics	bounced_or_failed_rate	UInt16	32	MT
campaign_statistics	failed_rate	UInt16	33	MT
campaign_statistics	spam_complaint_rate	UInt16	34	MT
campaign_statistics	unsubscribe_rate	UInt16	35	MT
campaign_statistics	campaign_name	String	36	MT
campaign_statistics	tag_ids	Array(String)	37	MT
campaign_statistics	tag_names	Array(String)	38	MT
campaign_statistics	subject	String	39	MT
campaign_statistics	preview_text	String	40	MT
campaign_statistics	from_email	String	41	MT
campaign_statistics	from_label	String	42	MT
campaign_statistics_latest	klaviyo_public_id	String	1	VIEW
campaign_statistics_latest	date	Date	2	VIEW
campaign_statistics_latest	campaign_id	String	3	VIEW
campaign_statistics_latest	campaign_message_id	String	4	VIEW
campaign_statistics_latest	send_channel	String	5	VIEW
campaign_statistics_latest	campaign_name	String	6	VIEW
campaign_statistics_latest	store_public_ids	Array(String)	7	VIEW
campaign_statistics_latest	tag_ids	Array(String)	8	VIEW
campaign_statistics_latest	tag_names	Array(String)	9	VIEW
campaign_statistics_latest	recipients	UInt32	10	VIEW
campaign_statistics_latest	delivered	UInt32	11	VIEW
campaign_statistics_latest	opens	UInt32	12	VIEW
campaign_statistics_latest	opens_unique	UInt32	13	VIEW
campaign_statistics_latest	clicks	UInt32	14	VIEW
campaign_statistics_latest	clicks_unique	UInt32	15	VIEW
campaign_statistics_latest	conversions	UInt32	16	VIEW
campaign_statistics_latest	conversion_uniques	UInt32	17	VIEW
campaign_statistics_latest	delivery_rate	UInt16	18	VIEW
campaign_statistics_latest	open_rate	UInt16	19	VIEW
campaign_statistics_latest	click_rate	UInt16	20	VIEW
campaign_statistics_latest	click_to_open_rate	UInt16	21	VIEW
campaign_statistics_latest	conversion_rate	UInt16	22	VIEW
campaign_statistics_latest	conversion_value	Float64	23	VIEW
campaign_statistics_latest	average_order_value	Float64	24	VIEW
campaign_statistics_latest	revenue_per_recipient	Float64	25	VIEW
campaign_statistics_latest	bounced	UInt32	26	VIEW
campaign_statistics_latest	bounced_or_failed	UInt32	27	VIEW
campaign_statistics_latest	failed	UInt32	28	VIEW
campaign_statistics_latest	spam_complaints	UInt32	29	VIEW
campaign_statistics_latest	unsubscribes	UInt32	30	VIEW
campaign_statistics_latest	last_updated	DateTime64(3)	31	VIEW
campaign_weekly_rollup	klaviyo_public_id	String	1	MT
campaign_weekly_rollup	week_start_date	Date	2	MT
campaign_weekly_rollup	campaign_id	String	3	MT
campaign_weekly_rollup	campaign_name	String	4	MT
campaign_weekly_rollup	send_channel	String	5	MT
campaign_weekly_rollup	total_recipients	UInt32	6	MT
campaign_weekly_rollup	total_opens	UInt32	7	MT
campaign_weekly_rollup	total_clicks	UInt32	8	MT
campaign_weekly_rollup	total_conversions	UInt32	9	MT
campaign_weekly_rollup	total_revenue	Float64	10	MT
campaign_weekly_rollup	avg_open_rate	Float32	11	MT
campaign_weekly_rollup	avg_click_rate	Float32	12	MT
campaign_weekly_rollup	avg_conversion_rate	Float32	13	MT
campaign_weekly_rollup	campaigns_sent	UInt16	14	MT
campaign_weekly_rollup	best_day_date	Date	15	MT
campaign_weekly_rollup	best_day_revenue	Float64	16	MT
campaign_weekly_rollup	best_day_open_rate	Float32	17	MT
campaign_weekly_rollup	wow_revenue_change_pct	Float32	18	MT
campaign_weekly_rollup	wow_open_rate_change_pct	Float32	19	MT
campaign_weekly_rollup	updated_at	DateTime	20	MT
channel_performance_daily	klaviyo_public_id	String	1	MT
channel_performance_daily	date	Date	2	MT
channel_performance_daily	send_channel	String	3	MT
channel_performance_daily	total_campaigns	UInt16	4	MT
channel_performance_daily	total_flows	UInt16	5	MT
channel_performance_daily	total_sends	UInt16	6	MT
channel_performance_daily	total_recipients	UInt32	7	MT
channel_performance_daily	total_opens	UInt32	8	MT
channel_performance_daily	total_clicks	UInt32	9	MT
channel_performance_daily	total_conversions	UInt32	10	MT
channel_performance_daily	total_revenue	Float64	11	MT
channel_performance_daily	avg_open_rate	Float32	12	MT
channel_performance_daily	avg_click_rate	Float32	13	MT
channel_performance_daily	avg_conversion_rate	Float32	14	MT
channel_performance_daily	revenue_per_recipient	Float32	15	MT
channel_performance_daily	revenue_rank	UInt8	16	MT
channel_performance_daily	engagement_rank	UInt8	17	MT
channel_performance_daily	pct_of_total_revenue	Float32	18	MT
